1781884848667501552,i,-1700,-163,16561,-8,-7,-5
1781884848687494032,i,-1685,-138,16568,-8,-8,-5
1781884848707485832,i,-1706,-136,16571,-8,-8,-6
1781884848727478312,i,-1679,-139,16563,-8,-8,-6
1781884848747471112,i,-1690,-112,16584,-8,-6,-6
1781884848767463832,i,-1721,-134,16594,-8,-7,-6
1781884848787456452,i,-1711,-120,16596,-8,-8,-5
1781884848807449132,i,-1714,-156,16585,-8,-8,-5
1781884848827441672,i,-1697,-119,16592,-8,-8,-5
1781884848847434212,i,-1692,-138,16559,-8,-8,-5
1781884848867426172,i,-1706,-128,16579,-7,-8,-5
1781884848887419112,i,-1691,-146,16559,-8,-8,-5
1781884848907411192,i,-1694,-153,16567,-8,-6,-6
1781884848927404332,i,-1710,-138,16572,-8,-8,-6
1781884848947396372,i,-1702,-149,16556,-7,-8,-5
1781884848967388932,i,-1699,-123,16576,-8,-8,-5
1781884848987381312,i,-1679,-129,16585,-8,-7,-6
1781884849007373552,i,-1693,-123,16550,-8,-7,-6
1781884849027365792,i,-1690,-140,16590,-8,-8,-6
1781884849047358272,i,-1700,-137,16594,-8,-8,-5
1781884849067350772,i,-1679,-119,16571,-8,-8,-6
1781884849087343372,i,-1687,-132,16605,-8,-8,-6
1781884849107336052,i,-1720,-117,16578,-8,-8,-5
1781884849127328532,i,-1687,-134,16551,-7,-7,-6
1781884849147321232,i,-1704,-121,16553,-8,-7,-5
1781884849167313972,i,-1705,-125,16559,-8,-6,-6
1781884849187306372,i,-1717,-124,16579,-9,-7,-6
1781884849207298852,i,-1704,-121,16575,-9,-7,-6
1781884849227291372,i,-1713,-130,16577,-8,-7,-5
1781884849247284432,i,-1698,-138,16562,-8,-8,-6
1781884849267276812,i,-1720,-145,16599,-8,-7,-6
1781884849287269472,i,-1701,-126,16563,-8,-9,-6
1781884849307261792,i,-1702,-131,16557,-8,-8,-5
1781884849327254352,i,-1687,-122,16569,-8,-6,-6
1781884849347246892,i,-1707,-137,16578,-8,-6,-6
1781884849367239432,i,-1714,-134,16578,-8,-6,-6
1781884849387231752,i,-1699,-124,16557,-8,-6,-6
1781884849407224312,i,-1708,-141,16565,-8,-6,-5
1781884849427216972,i,-1704,-142,16557,-8,-6,-5
1781884849447209312,i,-1701,-143,16560,-8,-8,-5
1781884849467202072,i,-1683,-133,16578,-7,-8,-6
1781884849487194652,i,-1717,-120,16601,-8,-7,-6
1781884849507187212,i,-1726,-121,16559,-8,-7,-5
1781884849527179152,i,-1688,-122,16538,-8,-7,-6
1781884849547171832,i,-1712,-139,16574,-8,-7,-7
1781884849567164452,i,-1689,-125,16588,-7,-8,-6
1781884849587157032,i,-1698,-124,16571,-8,-7,-7
1781884849607149612,i,-1672,-128,16576,-8,-8,-5
1781884849627142172,i,-1687,-123,16590,-9,-8,-5
1781884849647134932,i,-1687,-132,16597,-8,-9,-5
1781884849667127512,i,-1679,-139,16582,-8,-8,-5
1781884849687119992,i,-1715,-125,16530,-9,-7,-5
1781884849707112492,i,-1699,-130,16596,-8,-8,-5
1781884849727105252,i,-1682,-141,16563,-8,-8,-6
1781884849747097692,i,-1697,-125,16558,-8,-7,-6
1781884849767090192,i,-1694,-126,16538,-8,-6,-6
1781884849787082472,i,-1711,-132,16571,-8,-7,-6
1781884849807074792,i,-1720,-124,16580,-8,-8,-5
1781884849827067252,i,-1686,-134,16577,-8,-8,-5
1781884849847059752,i,-1694,-141,16597,-8,-8,-6
1781884849867052132,i,-1704,-143,16544,-8,-7,-4
1781884849887044112,i,-1711,-135,16582,-8,-7,-5
1781884849907036652,i,-1697,-139,16564,-8,-8,-5
1781884849927028992,i,-1725,-148,16567,-8,-8,-5
1781884849947021832,i,-1699,-151,16527,-8,-9,-5
1781884849967014192,i,-1679,-126,16529,-8,-8,-6
1781884849987006572,i,-1687,-127,16589,-8,-7,-6
1781884850006998852,i,-1694,-131,16558,-8,-8,-5
1781884850026991512,i,-1700,-135,16564,-8,-8,-5
1781884850046983812,i,-1724,-129,16575,-7,-8,-6
1781884850066976052,i,-1689,-107,16578,-8,-7,-6
1781884850086968672,i,-1696,-121,16581,-7,-7,-5
1781884850106961012,i,-1697,-128,16566,-8,-8,-5
1781884850126953312,i,-1685,-124,16562,-8,-7,-5
1781884850146945712,i,-1686,-135,16583,-8,-7,-5
1781884850166938032,i,-1697,-104,16549,-9,-8,-5
1781884850186930252,i,-1688,-120,16566,-8,-7,-4
1781884850206921892,i,-1719,-142,16547,-8,-8,-6
1781884850226914792,i,-1692,-135,16564,-8,-8,-6
1781884850246907172,i,-1690,-136,16569,-7,-7,-6
1781884850266899512,i,-1685,-128,16578,-8,-7,-6
1781884850286891752,i,-1707,-128,16596,-8,-8,-7
1781884850306884212,i,-1706,-150,16583,-9,-7,-6
1781884850326876672,i,-1708,-157,16571,-8,-7,-5
1781884850346869112,i,-1718,-126,16549,-7,-7,-5
1781884850366861152,i,-1715,-115,16571,-8,-7,-5
1781884850386853492,i,-1709,-123,16582,-8,-6,-5
1781884850406846712,i,-1701,-122,16583,-8,-7,-5
1781884850426839172,i,-1713,-125,16589,-8,-8,-5
1781884850446831672,i,-1720,-130,16607,-8,-7,-6
1781884850466824312,i,-1732,-124,16567,-8,-7,-5
1781884850486816692,i,-1703,-130,16567,-8,-7,-6
1781884850506809192,i,-1683,-125,16556,-8,-7,-6
1781884850526801812,i,-1704,-131,16553,-9,-8,-5
1781884850546794392,i,-1706,-155,16556,-8,-8,-5
1781884850566787092,i,-1678,-156,16593,-7,-7,-5
1781884850586779352,i,-1687,-142,16551,-7,-8,-5
1781884850606772312,i,-1731,-130,16573,-8,-7,-5
1781884850626764912,i,-1703,-115,16578,-8,-7,-6
1781884850646757672,i,-1689,-125,16550,-7,-8,-5
1781884850666750012,i,-1683,-127,16565,-7,-8,-6
1781884850686742572,i,-1698,-137,16573,-9,-8,-6
1781884850706735192,i,-1707,-127,16561,-8,-8,-6
1781884850726727972,i,-1682,-134,16591,-9,-8,-5
1781884850746720452,i,-1678,-161,16572,-8,-6,-5
1781884850766713052,i,-1701,-146,16562,-9,-7,-6
1781884850786705492,i,-1689,-140,16564,-7,-8,-5
1781884850806698092,i,-1691,-141,16593,-8,-7,-5
1781884850826690892,i,-1709,-124,16578,-9,-7,-6
1781884850846683572,i,-1692,-119,16584,-8,-7,-5
1781884850866675712,i,-1713,-124,16551,-8,-7,-5
1781884850886668232,i,-1715,-117,16585,-9,-6,-5
1781884850906660832,i,-1702,-126,16583,-8,-8,-5
1781884850926653952,i,-1703,-134,16586,-8,-7,-6
1781884850946646492,i,-1716,-117,16587,-7,-7,-6
1781884850966639092,i,-1690,-150,16580,-7,-7,-6
1781884850986631652,i,-1698,-142,16559,-8,-6,-6
1781884851006624352,i,-1713,-125,16574,-8,-6,-5
1781884851026616772,i,-1721,-123,16555,-8,-7,-6
1781884851046608632,i,-1695,-133,16590,-9,-8,-5
1781884851066601532,i,-1699,-158,16567,-8,-8,-5
1781884851086594272,i,-1717,-123,16586,-8,-7,-6
1781884851106586932,i,-1704,-133,16597,-8,-8,-5
1781884851126579472,i,-1700,-144,16589,-8,-8,-6
1781884851146572072,i,-1710,-144,16560,-8,-7,-5
1781884851166564712,i,-1704,-134,16564,-7,-8,-5
1781884851186557092,i,-1700,-135,16631,-7,-8,-5
1781884851206549332,i,-1724,-112,16572,-9,-8,-6
1781884851226541732,i,-1703,-133,16594,-10,-8,-6
1781884851246533952,i,-1705,-145,16580,-8,-7,-7
1781884851266526272,i,-1695,-145,16583,-8,-7,-5
1781884851108678400,c,,85.75,-84.75,188.75,13.25,286.25,14.75,293.75,-177.25,287.25,109.75,191.25,-180.25,388.25,110.25,292.25,206.75,185.25,203.75,281.75,293.25,382.75,300.75,399.75,205.75
1781884851286518532,i,-1697,-139,16572,-8,-7,-6
1781884851306510932,i,-1688,-136,16575,-8,-7,-5
1781884851326503332,i,-1707,-142,16590,-8,-7,-5
1781884851346495892,i,-1707,-131,16583,-8,-8,-5
1781884851366488072,i,-1687,-126,16546,-8,-7,-5
1781884851386480452,i,-1716,-134,16569,-8,-7,-6
1781884851406473612,i,-1716,-136,16548,-8,-7,-6
1781884851426466232,i,-1707,-141,16574,-8,-8,-5
1781884851446458592,i,-1713,-136,16590,-8,-8,-5
1781884851466450992,i,-1693,-131,16563,-8,-7,-6
1781884851486443392,i,-1700,-114,16556,-9,-8,-6
1781884851506435812,i,-1704,-135,16572,-9,-8,-6
1781884851526428392,i,-1724,-152,16579,-8,-7,-6
1781884851546421492,i,-1712,-152,16569,-8,-7,-6
1781884851566413352,i,-1729,-145,16545,-8,-8,-5
1781884851586405692,i,-1691,-131,16581,-7,-7,-5
1781884851606398012,i,-1714,-119,16562,-8,-7,-5
1781884851626390752,i,-1733,-136,16573,-8,-8,-6
1781884851646383132,i,-1704,-137,16550,-9,-7,-6
1781884851666375652,i,-1703,-135,16574,-8,-7,-5
1781884851686368072,i,-1712,-148,16577,-8,-7,-5
1781884851706360272,i,-1699,-124,16586,-7,-7,-5
1781884851726352832,i,-1704,-102,16607,-8,-8,-6
1781884851589893376,c,,84.75,-84.75,288.75,13.75,191.25,13.75,290.25,110.75,290.25,206.75,192.25,-180.25,285.75,-172.25,388.25,110.25,185.25,205.25,380.75,303.25,398.75,205.25
1781884851746345052,i,-1698,-119,16549,-8,-7,-5
1781884851766337492,i,-1698,-155,16558,-8,-7,-5
1781884851786329992,i,-1708,-126,16590,-8,-7,-5
1781884851806322152,i,-1675,-146,16557,-9,-7,-5
1781884851826314612,i,-1720,-134,16586,-8,-8,-5
1781884851846307212,i,-1689,-140,16534,-8,-8,-6
1781884851866300012,i,-1708,-129,16573,-8,-8,-5
1781884851886292152,i,-1693,-135,16579,-7,-8,-5
1781884851906284732,i,-1702,-126,16595,-8,-7,-5
1781884851926277592,i,-1713,-97,16569,-8,-7,-6
1781884851946270032,i,-1697,-128,16566,-8,-7,-6
1781884851966262652,i,-1708,-116,16563,-8,-8,-6
1781884851986255432,i,-1720,-111,16599,-8,-7,-5
1781884852006247932,i,-1724,-118,16567,-8,-7,-5
1781884852026240352,i,-1717,-127,16549,-8,-8,-5
1781884852046232132,i,-1707,-137,16542,-8,-7,-6
1781884852066224632,i,-1703,-144,16559,-8,-7,-5
1781884852086217232,i,-1706,-133,16586,-8,-8,-5
1781884852106209572,i,-1701,-123,16583,-8,-8,-5
1781884852126202152,i,-1701,-148,16574,-9,-9,-6
1781884852146195052,i,-1723,-156,16563,-9,-8,-5
1781884852166187332,i,-1704,-142,16546,-8,-8,-6
1781884852010959360,c,,86.25,-84.75,286.25,14.75,289.75,111.25,386.25,110.75,290.25,206.25,190.25,14.25,191.25,-179.25,292.75,-176.75,183.25,206.25,382.75,301.25,392.25,208.75
1781884852186179132,i,-1683,-161,16561,-7,-8,-6
1781884852206171552,i,-1714,-134,16587,-8,-7,-6
1781884852226164052,i,-1681,-141,16604,-8,-7,-6
1781884852246156772,i,-1706,-114,16565,-9,-8,-5
1781884852266148912,i,-1693,-117,16615,-9,-8,-5
1781884852286141472,i,-1711,-136,16595,-9,-8,-5
1781884852306134032,i,-1691,-148,16594,-9,-8,-5
1781884852326127772,i,-1694,-128,16610,-9,-8,-5
1781884852346120212,i,-1710,-141,16563,-8,-7,-5
1781884852366112692,i,-1691,-130,16564,-8,-7,-6
1781884852386105232,i,-1694,-140,16555,-8,-8,-6
1781884852406097672,i,-1689,-126,16547,-8,-8,-5
1781884852426090132,i,-1723,-138,16557,-8,-8,-5
1781884852446083012,i,-1697,-148,16573,-8,-8,-6
1781884852466075432,i,-1683,-141,16556,-8,-8,-6
1781884852486067812,i,-1702,-168,16587,-8,-7,-6
1781884852506059852,i,-1706,-119,16608,-8,-7,-6
1781884852526052432,i,-1710,-140,16575,-9,-7,-7
1781884852546044872,i,-1722,-135,16550,-9,-8,-5
1781884852566037112,i,-1694,-123,16587,-8,-7,-6
1781884852586030132,i,-1681,-112,16563,-8,-7,-6
1781884852606022572,i,-1703,-130,16543,-7,-8,-6
1781884852462103296,c,,86.75,-84.25,289.75,110.75,290.75,206.75,287.75,14.75,384.75,109.25,191.25,-179.75,191.75,13.75,285.75,-172.75,185.25,204.25,280.75,293.25,383.25,301.25,399.25,208.25
1781884852626014612,i,-1698,-129,16601,-8,-8,-6
1781884852646007052,i,-1685,-142,16568,-7,-8,-6
1781884852665999552,i,-1710,-129,16588,-8,-7,-6
1781884852685992032,i,-1687,-135,16557,-8,-7,-5
